pod_id,algorithm,timestamp,success,execution_time,emissions,node,timeslot,considered_options
m152-duration-6h-deadline-30h,heuristic,1742739717.446488,True,0.0024063587188720703,0.827919390569194,node-1-fr-smartphone,17,232
m153-duration-1h-deadline-3h,heuristic,1742739717.4488704,True,0.00016021728515625,0.3471030690200211,node-0-de-iot,1,16
m154-duration-3h-deadline-5h,heuristic,1742739717.4502225,True,0.00027179718017578125,3.1232882620484923,node-6-es-laptop,1,32
m155-duration-6h-deadline-8h,heuristic,1742739717.452777,True,0.0002880096435546875,7.834701524096985,node-6-es-laptop,1,56
m156-duration-1h-deadline-25h,heuristic,1742739717.4543476,True,0.0009303092956542969,0.08198656509486565,node-1-fr-smartphone,7,192
m157-duration-3h-deadline-9h,heuristic,1742739717.455277,True,0.00031280517578125,5.505475762048492,node-6-es-laptop,1,64
m158-duration-6h-deadline-12h,heuristic,1742739717.4565222,True,0.0004482269287109375,7.834701524096985,node-6-es-laptop,1,88
m159-duration-1h-deadline-3h,heuristic,1742739717.457219,True,0.00010800361633300781,0.04618656509486565,node-5-fr-smartphone,0,16
m160-duration-3h-deadline-9h,heuristic,1742739717.4581,True,0.00030040740966796875,5.505475762048492,node-6-es-laptop,1,64
m161-duration-6h-deadline-30h,heuristic,1742739717.4600291,True,0.0013234615325927734,0.5219193905691939,node-1-fr-smartphone,17,232
m162-duration-1h-deadline-25h,heuristic,1742739717.461589,True,0.0009043216705322266,0.04488656509486565,node-1-fr-smartphone,13,192
m163-duration-3h-deadline-9h,heuristic,1742739717.462491,True,0.00031065940856933594,3.9173507620484926,node-6-es-laptop,1,64
m164-duration-6h-deadline-30h,heuristic,1742739824.9445946,True,0.001653909683227539,0.5219193905691939,node-5-fr-smartphone,17,232
m165-duration-1h-deadline-25h,heuristic,1742739824.9463444,True,0.0009369850158691406,0.057986565094865654,node-1-fr-smartphone,7,192
m166-duration-3h-deadline-5h,heuristic,1742739824.9471567,True,0.00015091896057128906,104.85952875561927,node-3-it-no-server,2,32
m167-duration-6h-deadline-12h,heuristic,1742739824.9485204,True,0.0007011890411376953,5.498451524096985,node-2-es-laptop,4,88
m168-duration-1h-deadline-25h,heuristic,1742739824.950201,True,0.0009150505065917969,0.08198656509486565,node-1-fr-smartphone,8,192
m169-duration-3h-deadline-9h,heuristic,1742739824.9513361,True,0.0003809928894042969,2.7492257620484923,node-2-es-laptop,4,64
m170-duration-6h-deadline-30h,heuristic,1742739824.9534214,True,0.0013434886932373047,0.2771193905691939,node-5-fr-smartphone,17,232
m171-duration-1h-deadline-7h,heuristic,1742739824.9543731,True,0.0002562999725341797,0.3471030690200211,node-0-de-iot,1,48
m172-duration-3h-deadline-27h,heuristic,1742739824.9564135,True,0.0012159347534179688,0.18445969528459694,node-5-fr-smartphone,17,208
m173-duration-6h-deadline-8h,heuristic,1742739824.9575148,True,0.0002734661102294922,11.438451524096985,node-2-es-laptop,4,56
m174-duration-1h-deadline-25h,heuristic,1742739824.9592052,True,0.0009796619415283203,0.08198656509486565,node-1-fr-smartphone,8,192
